Park,Name,Unit Code,Park Type,Region,State,Year,Recreation Visits,Tent Campers,RV Campers,Backcountry Campers,Latitude,Longitude
Mesa Verde NP,Mesa Verde National Park,MEVE,National Park,Intermountain ,CO,2021,548477,24482,28450,0,37.18,-108.49
Mount Rainier NP,Mount Rainier National Park,MORA,National Park,Pacific West ,WA,2021,1670063,56183,24463,58365,46.85,-121.75
New River Gorge NP & PRES,Great Sand Dunes National Park,NERI,National Park,Northeast ,WV,2021,2285333,46822,40089,25575,37.9,-81.04
North Cascades NP,North Cascades National Park,NOCA,National Park,Pacific West ,WA,2021,17855,0,0,14020,48.7,-121.2
Olympic NP,Olympic National Park,OLYM,National Park,Pacific West ,WA,2021,2718925,154166,93269,138140,47.97,-123.5
Petrified Forest NP,Petrified Forest National Park,PEFO,National Park,Intermountain ,AZ,2021,590334,0,0,624,35.07,-109.78
Pinnacles NP,Pinnacles National Park,PINN,National Park,Pacific West ,CA,2021,348857,0,0,0,36.48,-121.16
Redwood NP,Redwood National Park,REDW,National Park,Pacific West ,CA,2021,435879,3940,0,12271,41.3,-124
Rocky Mountain NP,Rocky Mountain National Park,ROMO,National Park,Intermountain ,CO,2021,4434848,55920,32148,39384,40.4,-105.58
Saguaro NP,Saguaro National Park,SAGU,National Park,Intermountain ,AZ,2021,1079786,0,0,4015,32.25,-110.5
Sequoia NP,Sequoia National Park,SEQU,National Park,Pacific West ,CA,2021,1059548,91243,22456,33155,36.43,-118.68
Shenandoah NP,Shenandoah National Park,SHEN,National Park,Northeast ,VA,2021,1592312,133749,76281,68824,38.53,-78.35
Theodore Roosevelt NP,Theodore Roosevelt National Park,THRO,National Park,Midwest ,ND,2021,796085,15742,22096,1054,46.97,-103.45
Voyageurs NP,Voyageurs National Park,VOYA,National Park,Midwest ,MN,2021,243042,0,0,74000,48.5,-92.88
White Sands NP,White Sands National Park,WHSA,National Park,Intermountain ,NM,2021,782469,0,0,0,32.77,-106.17
Wind Cave NP,Wind Cave National Park,WICA,National Park,Midwest ,SD,2021,709001,5297,5940,473,43.57,-103.48
Yellowstone NP,Yellowstone National Park,YELL,National Park,Intermountain ,WY,2021,4860242,52511,59365,43355,44.6,-110.5
Yosemite NP,Yosemite National Park,YOSE,National Park,Pacific West ,CA,2021,3287595,188179,149192,174839,37.83,-119.5
Zion NP,Zion National Park,ZION,National Park,Intermountain ,UT,2021,5039835,138730,89919,15071,37.3,-113.05
